scenario,scenario_type,rstar_annual,rstar,beta,sigma,kappa,rho_i,phi_pi,phi_x
rstar_2,rstar,0.02,0.0049629315732038215,0.9950615774798433,1.0,0.1,0.9340951952593648,1.75,0.5
rstar_3,rstar,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,1.75,0.5
rstar_4,rstar,0.04,0.009853406548968824,0.9902427357425654,1.0,0.1,0.9340951952593648,1.75,0.5
kappa_0p07,kappa,0.03,0.007417071777732875,0.9926375361451396,1.0,0.07,0.9340951952593648,1.75,0.5
kappa_0p10,kappa,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,1.75,0.5
kappa_0p13,kappa,0.03,0.007417071777732875,0.9926375361451396,1.0,0.13,0.9340951952593648,1.75,0.5
phi_pi_1p3,phi_pi,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,1.3,0.5
phi_pi_1p4,phi_pi,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,1.4,0.5
phi_pi_1p5,phi_pi,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,1.5,0.5
phi_pi_1p6,phi_pi,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,1.6,0.5
phi_pi_1p7,phi_pi,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,1.7,0.5
phi_pi_1p8,phi_pi,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,1.8,0.5
phi_pi_1p9,phi_pi,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,1.9,0.5
phi_pi_2p0,phi_pi,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,2.0,0.5
phi_pi_2p1,phi_pi,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,2.1,0.5
phi_pi_2p2,phi_pi,0.03,0.007417071777732875,0.9926375361451396,1.0,0.1,0.9340951952593648,2.2,0.5
